Date,Open,High,Low,Close,Volume
04/04/2025,"1,240.00","1,245.20","1,192.85","1,204.70","785,059"
04/03/2025,"1,238.95","1,251.20","1,234.55","1,248.60","532,522"
04/02/2025,"1,250.35","1,256.00","1,243.80","1,251.10","243,303"
04/01/2025,"1,274.60","1,277.80","1,250.00","1,252.45","722,008"
03/28/2025,"1,279.30","1,295.70","1,269.05","1,275.00","987,799"
03/27/2025,"1,275.05","1,285.15","1,272.05","1,278.40","278,220"
03/26/2025,"1,290.25","1,293.95","1,269.00","1,272.55","658,347"
03/25/2025,"1,307.00","1,307.00","1,283.00","1,285.40","865,836"
03/24/2025,"1,286.40","1,305.30","1,281.00","1,301.35","861,533"
03/21/2025,"1,270.05","1,284.50","1,270.05","1,276.45","361,299"
03/20/2025,"1,254.20","1,272.80","1,250.00","1,268.55","612,659"
03/19/2025,"1,242.00","1,252.75","1,239.35","1,247.70","295,426"
03/18/2025,"1,243.50","1,248.10","1,234.90","1,238.80","1,740,575"
03/17/2025,"1,247.00","1,257.20","1,233.25","1,240.40","422,823"
03/13/2025,"1,262.90","1,264.00","1,244.00","1,247.40","302,876"
03/12/2025,"1,256.85","1,261.55","1,244.00","1,256.60","426,299"
03/11/2025,"1,238.05","1,249.55","1,230.00","1,247.40","305,952"
03/10/2025,"1,249.10","1,258.00","1,235.50","1,238.20","245,117"
03/07/2025,"1,214.05","1,254.50","1,212.30","1,249.10","794,738"
03/06/2025,"1,201.00","1,214.00","1,185.50","1,210.55","652,420"
03/05/2025,"1,162.00","1,183.05","1,158.00","1,175.75","348,560"
03/04/2025,"1,165.00","1,174.10","1,159.25","1,161.70","286,826"
03/03/2025,"1,209.80","1,209.80","1,156.00","1,171.10","542,446"
02/28/2025,"1,201.00","1,217.40","1,193.30","1,199.60","437,656"
02/27/2025,"1,213.55","1,215.00","1,201.00","1,207.05","193,166"
02/25/2025,"1,213.95","1,221.00","1,201.00","1,203.90","881,729"
02/24/2025,"1,219.40","1,223.00","1,210.60","1,214.75","477,209"
02/21/2025,"1,229.95","1,239.95","1,222.35","1,227.70","907,589"
02/20/2025,"1,226.25","1,239.40","1,223.00","1,233.05","206,262"
02/19/2025,"1,222.75","1,232.80","1,217.60","1,226.95","110,206"
02/18/2025,"1,225.25","1,229.95","1,216.40","1,224.95","206,583"
02/17/2025,"1,215.75","1,227.20","1,205.15","1,224.75","207,944"
02/14/2025,"1,220.00","1,224.30","1,206.00","1,216.95","358,010"
02/13/2025,"1,218.95","1,227.95","1,212.15","1,216.20","360,188"
02/12/2025,"1,219.95","1,227.85","1,193.65","1,215.70","596,942"
02/11/2025,"1,263.05","1,263.40","1,230.00","1,234.60","554,854"
02/10/2025,"1,263.80","1,266.00","1,245.85","1,253.40","539,885"
02/07/2025,"1,266.45","1,284.75","1,262.00","1,266.85","375,026"
02/06/2025,"1,276.60","1,287.35","1,270.80","1,281.55","160,168"
02/05/2025,"1,284.95","1,290.00","1,276.15","1,278.05","355,650"
02/04/2025,"1,247.05","1,289.00","1,246.65","1,286.00","397,483"
02/03/2025,"1,250.00","1,255.90","1,238.00","1,245.15","396,687"
01/31/2025,"1,257.40","1,266.00","1,249.50","1,264.90","412,707"
01/30/2025,"1,235.00","1,256.60","1,232.25","1,253.60","462,230"
01/29/2025,"1,237.30","1,242.75","1,228.45","1,235.80","358,148"
01/28/2025,"1,236.60","1,244.15","1,218.90","1,233.80","364,260"
01/27/2025,"1,239.90","1,240.45","1,220.05","1,229.30","411,760"
01/24/2025,"1,266.90","1,273.10","1,244.00","1,245.90","430,797"
01/23/2025,"1,274.75","1,277.25","1,261.55","1,263.85","235,409"
01/22/2025,"1,279.00","1,282.90","1,268.80","1,277.30","2,201,402"
01/21/2025,"1,310.00","1,312.85","1,269.55","1,272.95","1,210,468"
01/20/2025,"1,319.35","1,319.35","1,300.55","1,305.00","242,236"
01/17/2025,"1,325.10","1,325.10","1,284.70","1,301.30","1,514,067"
01/16/2025,"1,260.20","1,275.00","1,251.40","1,268.70","391,749"
01/15/2025,"1,247.00","1,256.75","1,242.15","1,252.30","287,139"
01/14/2025,"1,240.00","1,255.05","1,227.30","1,238.55","837,785"
01/13/2025,"1,230.00","1,245.15","1,225.60","1,240.05","810,470"
01/10/2025,"1,255.90","1,256.70","1,236.15","1,242.35","498,991"
01/09/2025,"1,267.90","1,269.40","1,248.00","1,255.00","262,909"
01/08/2025,"1,251.20","1,270.70","1,245.00","1,264.70","881,916"
01/07/2025,"1,221.65","1,243.40","1,221.40","1,240.90","512,057"
01/06/2025,"1,251.55","1,261.70","1,215.30","1,218.20","782,428"
01/03/2025,"1,247.75","1,262.30","1,235.60","1,251.35","502,895"
01/02/2025,"1,220.70","1,244.50","1,220.25","1,241.65","529,144"
01/01/2025,"1,218.95","1,226.20","1,212.10","1,221.65","380,215"
12/31/2024,"1,210.40","1,219.05","1,206.40","1,215.45","444,246"
12/30/2024,"1,219.65","1,223.35","1,208.65","1,210.90","314,452"
12/27/2024,"1,216.65","1,227.60","1,216.65","1,220.95","653,086"
12/26/2024,"1,224.65","1,228.00","1,214.45","1,216.60","556,935"
12/24/2024,"1,231.90","1,233.45","1,221.45","1,223.50","268,064"
12/23/2024,"1,217.25","1,227.00","1,213.15","1,222.10","3,332,773"
