Date,Close,Open,High,Low
31/12/2024,116.0499,116.0499,116.0499,116.0499
30/12/2024,116.3097,116.3097,116.3097,116.3097
27/12/2024,116.8599,116.8599,116.8599,116.8599
26/12/2024,116.6487,116.6487,116.6487,116.6487
24/12/2024,116.5521,116.5521,116.5521,116.5521
23/12/2024,116.6504,116.6504,116.6504,116.6504
20/12/2024,116.0579,116.0579,116.0579,116.0579
19/12/2024,117.4964,117.4964,117.4964,117.4964
18/12/2024,118.4233,118.4233,118.4233,118.4233
17/12/2024,118.9837,118.9837,118.9837,118.9837
16/12/2024,120.2326,120.2326,120.2326,120.2326
13/12/2024,120.5711,120.5711,120.5711,120.5711
12/12/2024,119.7702,119.7702,119.7702,119.7702
11/12/2024,120.1105,120.1105,120.1105,120.1105
10/12/2024,120.0132,120.0132,120.0132,120.0132
09/12/2024,120.0081,120.0081,120.0081,120.0081
06/12/2024,120.23,120.23,120.23,120.23
05/12/2024,120.3473,120.3473,120.3473,120.3473
04/12/2024,119.4241,119.4241,119.4241,119.4241
03/12/2024,119.3133,119.3133,119.3133,119.3133
02/12/2024,118.623,118.623,118.623,118.623
29/11/2024,118.0021,118.0021,118.0021,118.0021
28/11/2024,117.1689,117.1689,117.1689,117.1689
27/11/2024,118.4765,118.4765,118.4765,118.4765
26/11/2024,118.2014,118.2014,118.2014,118.2014
25/11/2024,118.2873,118.2873,118.2873,118.2873
22/11/2024,117.0833,117.0833,117.0833,117.0833
21/11/2024,115.0584,115.0584,115.0584,115.0584
19/11/2024,115.6083,115.6083,115.6083,115.6083
18/11/2024,115.3369,115.3369,115.3369,115.3369
14/11/2024,115.5886,115.5886,115.5886,115.5886
13/11/2024,115.652,115.652,115.652,115.652
12/11/2024,116.9138,116.9138,116.9138,116.9138
11/11/2024,117.8867,117.8867,117.8867,117.8867
08/11/2024,117.8772,117.8772,117.8772,117.8772
07/11/2024,118.0471,118.0471,118.0471,118.0471
06/11/2024,119.0831,119.0831,119.0831,119.0831
