Date,Open,High,Low,Close,Volume
01/01/2024,1290.53,1303.00,1286.78,1294.93,135282
12/29/2023,1304.03,1307.40,1289.58,1292.43,1696896
12/28/2023,1293.50,1305.68,1293.50,1302.90,367620
12/27/2023,1289.25,1299.68,1286.13,1293.18,207612
12/26/2023,1285.00,1296.45,1281.50,1288.75,180568
12/22/2023,1281.10,1290.28,1274.00,1282.35,1049116
12/21/2023,1255.23,1286.25,1255.23,1281.10,729590
12/20/2023,1280.15,1298.93,1260.00,1263.68,1298818
12/19/2023,1268.85,1286.50,1262.93,1279.23,468758
12/18/2023,1247.10,1267.20,1245.53,1259.98,392356
12/15/2023,1236.08,1249.98,1234.53,1247.60,1363156
12/14/2023,1226.50,1237.50,1221.35,1232.25,7295432
12/13/2023,1213.88,1219.00,1203.15,1216.70,274592
12/12/2023,1229.00,1232.45,1210.13,1211.98,196210
12/11/2023,1226.08,1233.70,1226.08,1229.53,339030
12/08/2023,1230.60,1237.85,1222.25,1228.10,2214218
12/07/2023,1230.35,1230.53,1221.00,1228.80,5782970
12/06/2023,1221.63,1236.80,1220.15,1230.35,260700
12/05/2023,1216.50,1220.25,1210.68,1218.78,781640
12/04/2023,1220.03,1222.50,1197.50,1210.50,12956730
12/01/2023,1190.50,1198.45,1190.00,1196.73,5661114
11/30/2023,1199.00,1200.25,1185.63,1188.20,8752268
11/29/2023,1202.58,1205.88,1199.13,1200.25,647564
11/28/2023,1196.50,1199.40,1187.50,1197.28,706244
11/24/2023,1195.10,1201.20,1195.10,1197.15,1169720
11/23/2023,1193.88,1200.63,1193.88,1197.58,455050
11/22/2023,1186.35,1197.38,1186.20,1193.88,126484
11/21/2023,1181.03,1193.83,1179.70,1189.25,152016
11/20/2023,1174.50,1179.00,1168.43,1174.65,327648
11/17/2023,1178.68,1186.50,1176.50,1177.93,1146200
11/16/2023,1174.98,1186.85,1173.40,1181.68,871212
11/15/2023,1167.75,1181.18,1163.40,1178.45,209078
11/13/2023,1162.50,1162.50,1155.83,1157.15,255768
11/10/2023,1154.00,1158.50,1149.08,1157.15,999592
11/09/2023,1165.28,1168.28,1152.50,1155.33,423200
11/08/2023,1166.85,1170.50,1161.30,1168.30,635526
11/07/2023,1168.88,1169.73,1160.00,1162.10,410732
11/06/2023,1167.48,1170.00,1163.03,1169.53,653916
11/03/2023,1164.33,1167.50,1157.45,1159.53,1626662
11/02/2023,1154.50,1162.00,1153.25,1159.93,169218
11/01/2023,1144.95,1158.75,1137.63,1148.33,526194
10/31/2023,1166.48,1166.48,1141.40,1144.28,293678
10/30/2023,1141.98,1162.30,1136.00,1155.68,543498
10/27/2023,1121.00,1137.03,1118.03,1132.63,1586372
10/26/2023,1128.98,1129.00,1110.53,1113.10,1364998
10/25/2023,1126.48,1140.75,1121.20,1129.00,434962
10/23/2023,1146.00,1153.35,1127.13,1131.33,500930
10/20/2023,1151.23,1157.40,1148.03,1149.58,949106
10/19/2023,1157.48,1160.70,1150.78,1152.78,1180672
10/18/2023,1177.63,1183.58,1160.10,1161.80,521674
10/17/2023,1176.23,1180.00,1171.00,1177.80,271286
