Date,Open,High,Low,Close,Volume
12/03/2024,1318.9,1326.7,1307.3,1323.4,344673.0
12/02/2024,1291.7,1311.1,1277.0,1309.1,633384.0
11/29/2024,1280.0,1299.3,1274.8,1292.5,748891.0
11/28/2024,1292.0,1296.8,1269.3,1271.4,481819.0
11/27/2024,1295.8,1303.8,1286.2,1292.9,263573.0
11/26/2024,1296.5,1297.9,1284.0,1295.6,487024.0
11/25/2024,1294.8,1304.4,1282.7,1287.8,962533.0
11/22/2024,1229.9,1268.7,1223.1,1266.0,1055840.0
11/21/2024,1247.1,1247.1,1217.7,1223.2,491073.0
11/19/2024,1259.1,1281.0,1235.5,1241.3,397953.0
11/18/2024,1266.6,1273.1,1244.0,1260.7,609245.0
11/14/2024,1254.6,1272.5,1252.3,1267.7,799527.0
11/13/2024,1269.5,1275.0,1249.7,1252.3,525801.0
11/12/2024,1275.0,1289.4,1269.0,1273.1,592220.0
11/11/2024,1282.6,1286.0,1266.4,1273.1,695566.0
11/08/2024,1302.7,1302.8,1278.0,1284.0,927106.0
11/07/2024,1322.2,1324.0,1303.2,1305.7,529604.0
11/06/2024,1311.9,1328.5,1300.3,1325.6,873762.0
11/05/2024,1293.8,1309.4,1286.2,1306.0,410474.0
11/04/2024,1337.0,1338.6,1285.1,1302.0,1351832.0
11/01/2024,1339.9,1341.0,1334.3,1339.1,290859.0
10/31/2024,1341.9,1342.9,1326.1,1332.6,657957.0
10/30/2024,1339.8,1349.9,1324.8,1344.0,324321.0
10/29/2024,1334.3,1342.9,1320.5,1339.0,363373.0
10/28/2024,1338.0,1353.2,1322.0,1334.3,384134.0
10/25/2024,1343.9,1343.9,1322.5,1327.7,1470496.0
10/24/2024,1337.5,1343.8,1323.5,1340.0,867390.0
10/23/2024,1340.5,1357.5,1335.5,1338.9,849614.0
10/22/2024,1370.0,1376.0,1340.4,1343.7,378276.0
10/21/2024,1369.8,1374.0,1358.0,1369.1,394020.0
10/18/2024,1353.3,1368.0,1341.6,1358.8,1419472.0
10/17/2024,1369.4,1369.4,1352.5,1356.7,1662372.0
10/16/2024,1344.0,1364.3,1338.0,1354.0,635272.0
10/15/2024,1359.5,1372.0,1340.6,1344.0,1287148.0
10/14/2024,1380.9,1380.9,1368.3,1372.6,504838.0
10/11/2024,1371.0,1383.5,1369.0,1371.1,882564.0
10/10/2024,1382.2,1386.0,1370.0,1371.0,730900.0
10/09/2024,1401.4,1401.4,1372.1,1375.1,641084.0
10/08/2024,1380.0,1401.4,1364.3,1398.0,318502.0
10/07/2024,1400.0,1400.0,1361.5,1370.5,1122402.0
10/04/2024,1407.0,1418.0,1383.0,1386.9,2240234.0
10/03/2024,1435.2,1450.0,1387.5,1407.6,7089762.0
10/01/2024,1481.4,1489.0,1463.0,1464.9,1468420.0
09/30/2024,1518.0,1522.2,1475.0,1476.9,850746.0
09/27/2024,1500.0,1533.5,1492.0,1526.2,902318.0
09/26/2024,1492.5,1504.0,1488.1,1500.4,303052.0
09/25/2024,1484.6,1496.8,1480.3,1493.7,294796.0
09/24/2024,1490.0,1500.0,1488.2,1489.6,463610.0
09/23/2024,1490.1,1501.4,1489.6,1494.2,596992.0
09/20/2024,1474.5,1495.6,1471.8,1486.6,3406066.0
09/19/2024,1465.5,1476.5,1455.6,1469.7,121612.0
09/18/2024,1470.0,1482.0,1461.0,1463.1,394690.0
09/17/2024,1474.4,1477.0,1466.9,1472.3,360644.0
09/16/2024,1478.8,1480.8,1465.0,1471.5,82840.0
09/13/2024,1477.2,1483.0,1469.4,1472.2,725070.0
09/12/2024,1459.4,1485.5,1446.2,1479.2,689834.0
09/11/2024,1464.5,1468.5,1447.7,1451.6,257350.0
09/10/2024,1462.4,1472.0,1458.0,1461.5,435046.0
09/09/2024,1466.1,1469.5,1456.3,1463.0,436066.0
09/06/2024,1495.0,1498.1,1461.4,1464.9,2040084.0
09/05/2024,1519.7,1526.0,1487.5,1493.6,624506.0
09/04/2024,1498.0,1517.0,1498.0,1514.9,402570.0
09/03/2024,1520.8,1522.5,1507.7,1509.8,413754.0
09/02/2024,1515.8,1526.7,1506.4,1516.4,600208.0
08/30/2024,1542.0,1542.0,1503.5,1509.9,1391808.0
08/29/2024,1507.5,1537.4,1494.0,1520.4,1091610.0
