Date,Open,High,Low,Close,Volume
01/01/2025,1218.95,1226.20,1212.10,1221.65,380215
12/31/2024,1210.40,1219.05,1206.40,1215.45,444246
12/30/2024,1219.65,1223.35,1208.65,1210.90,314452
12/27/2024,1216.65,1227.60,1216.65,1220.95,653086
12/26/2024,1224.65,1228.00,1214.45,1216.60,556935
12/24/2024,1231.90,1233.45,1221.45,1223.50,268064
12/23/2024,1217.25,1227.00,1213.15,1222.10,3332773
12/20/2024,1229.95,1239.75,1202.10,1206.00,1166317
12/19/2024,1239.95,1244.95,1229.40,1230.60,424104
12/18/2024,1243.40,1259.90,1241.75,1253.05,260426
12/17/2024,1262.65,1262.65,1242.60,1245.10,639483
12/16/2024,1275.00,1281.60,1266.85,1268.05,465483
12/13/2024,1265.00,1275.15,1240.00,1273.35,1106984
12/12/2024,1275.20,1278.10,1261.05,1263.85,683512
12/11/2024,1286.50,1290.00,1275.35,1278.10,594409
12/10/2024,1290.00,1295.00,1280.75,1284.95,438986
12/09/2024,1303.00,1315.45,1292.90,1295.15,554024
12/06/2024,1326.90,1326.90,1309.80,1311.80,412701
12/05/2024,1310.75,1329.50,1306.40,1321.20,674847
12/04/2024,1326.95,1329.00,1305.00,1309.00,438492
12/03/2024,1318.85,1326.70,1307.25,1323.35,344673
12/02/2024,1291.65,1311.05,1277.00,1309.05,633384
11/29/2024,1280.00,1299.30,1274.75,1292.45,748891
11/28/2024,1291.95,1296.80,1269.25,1271.35,481819
11/27/2024,1295.75,1303.80,1286.20,1292.90,263573
11/26/2024,1296.45,1297.85,1284.00,1295.55,487024
11/25/2024,1294.80,1304.35,1282.65,1287.80,962533
11/22/2024,1229.90,1268.65,1223.05,1265.95,1055840
11/21/2024,1247.05,1247.05,1217.70,1223.20,491073
11/19/2024,1259.05,1281.00,1235.45,1241.30,397953
11/18/2024,1266.55,1273.10,1244.00,1260.65,609245
11/14/2024,1254.55,1272.50,1252.25,1267.70,799527
11/13/2024,1269.50,1275.00,1249.70,1252.25,525801
11/12/2024,1275.00,1289.40,1269.00,1273.10,592220
11/11/2024,1282.60,1285.95,1266.35,1273.05,695566
11/08/2024,1302.65,1302.80,1278.00,1284.00,927106
11/07/2024,1322.15,1324.00,1303.20,1305.65,529604
11/06/2024,1311.85,1328.45,1300.30,1325.55,873762
11/05/2024,1293.75,1309.35,1286.15,1305.95,410474
11/04/2024,1337.00,1338.60,1285.10,1302.00,1351832
11/01/2024,1339.85,1341.00,1334.30,1339.10,290859
10/31/2024,1341.90,1342.90,1326.05,1332.60,657957
10/30/2024,1339.80,1349.90,1324.80,1343.95,324321
10/29/2024,1334.30,1342.90,1320.50,1338.95,363373
10/28/2024,1338.00,1353.15,1322.00,1334.30,384134
10/25/2024,1343.85,1343.85,1322.50,1327.73,1470496
10/24/2024,1337.50,1343.80,1323.50,1339.98,867390
10/23/2024,1340.50,1357.50,1335.50,1338.85,849614
10/22/2024,1369.95,1375.95,1340.40,1343.65,378276
10/21/2024,1369.83,1374.00,1358.03,1369.13,394020
10/18/2024,1353.33,1368.00,1341.60,1358.78,1419472
10/17/2024,1369.35,1369.35,1352.50,1356.73,1662372
10/16/2024,1343.95,1364.28,1338.00,1354.00,635272
10/15/2024,1359.48,1372.00,1340.63,1343.95,1287148
10/14/2024,1380.85,1380.85,1368.25,1372.60,504838
10/11/2024,1371.00,1383.53,1369.00,1371.10,882564
10/10/2024,1382.18,1386.00,1370.00,1371.03,730900
10/09/2024,1401.35,1401.35,1372.08,1375.05,641084
10/08/2024,1380.00,1401.38,1364.30,1398.03,318502
10/07/2024,1399.98,1399.98,1361.45,1370.48,1122402
10/04/2024,1407.00,1417.98,1383.00,1386.90,2240234
10/03/2024,1435.15,1449.98,1387.50,1407.63,7089762
10/01/2024,1481.35,1489.00,1463.00,1464.90,1468420
09/30/2024,1518.00,1522.15,1475.00,1476.90,850746
09/27/2024,1500.00,1533.45,1492.00,1526.20,902318
09/26/2024,1492.48,1504.00,1488.05,1500.35,303052
09/25/2024,1484.63,1496.80,1480.25,1493.73,294796
09/24/2024,1489.98,1500.00,1488.20,1489.63,463610
09/23/2024,1490.05,1501.38,1489.60,1494.20,596992
09/20/2024,1474.50,1495.58,1471.78,1486.55,3406066
09/19/2024,1465.48,1476.50,1455.60,1469.68,121612
09/18/2024,1470.00,1482.00,1461.00,1463.13,394690
09/17/2024,1474.35,1477.00,1466.90,1472.30,360644
09/16/2024,1478.75,1480.80,1465.00,1471.45,82840
09/13/2024,1477.20,1483.00,1469.35,1472.23,725070
09/12/2024,1459.38,1485.50,1446.15,1479.20,689834
09/11/2024,1464.48,1468.50,1447.65,1451.55,257350
09/10/2024,1462.40,1471.98,1458.00,1461.50,435046
09/09/2024,1466.05,1469.50,1456.25,1463.03,436066
09/06/2024,1494.95,1498.10,1461.38,1464.93,2040084
09/05/2024,1519.73,1526.03,1487.50,1493.58,624506
09/04/2024,1497.95,1517.00,1497.95,1514.90,402570
09/03/2024,1520.83,1522.50,1507.65,1509.80,413754
09/02/2024,1515.83,1526.68,1506.40,1516.40,600208
08/30/2024,1541.98,1541.98,1503.48,1509.88,1391808
08/29/2024,1507.48,1537.40,1494.00,1520.43,1091610
08/28/2024,1506.98,1507.50,1492.68,1497.88,102196
08/27/2024,1511.50,1512.55,1499.00,1500.23,145120
08/26/2024,1507.50,1523.08,1502.73,1512.08,390180
08/23/2024,1507.70,1511.33,1498.10,1499.98,1050992
08/22/2024,1500.65,1505.90,1490.68,1497.55,386964
08/21/2024,1492.50,1507.93,1490.00,1498.28,180722
08/20/2024,1493.13,1503.83,1490.50,1496.68,623600
08/19/2024,1483.73,1498.18,1481.50,1488.60,184640
08/16/2024,1466.68,1480.50,1458.33,1478.08,1246510
08/14/2024,1463.25,1471.70,1454.00,1461.33,114174
08/13/2024,1462.50,1469.95,1457.80,1463.45,2972016
08/12/2024,1466.20,1473.00,1458.10,1460.75,292948
08/09/2024,1463.85,1477.03,1456.03,1474.15,762512
08/08/2024,1461.50,1463.60,1446.13,1447.75,354424
08/07/2024,1472.88,1473.05,1461.50,1464.60,244546
08/06/2024,1450.58,1477.68,1450.58,1455.90,388270
08/05/2024,1475.03,1480.05,1432.90,1447.35,494328
08/02/2024,1500.20,1509.18,1492.90,1499.23,1224924
08/01/2024,1511.90,1518.45,1504.93,1515.85,139732
07/31/2024,1506.98,1510.48,1501.55,1505.13,125328
07/30/2024,1517.38,1524.95,1510.58,1512.78,291482
07/29/2024,1519.98,1527.00,1512.73,1520.38,119056
07/26/2024,1499.38,1512.98,1490.95,1508.93,1542328
07/25/2024,1480.50,1500.58,1477.35,1491.30,174744
07/24/2024,1482.43,1510.00,1476.85,1495.33,328478
07/23/2024,1502.48,1506.43,1463.55,1487.83,527728
07/22/2024,1535.08,1536.68,1499.40,1500.55,380146
07/19/2024,1587.50,1589.50,1552.08,1554.75,1147710
07/18/2024,1576.00,1593.30,1558.05,1585.18,312500
07/16/2024,1596.20,1600.00,1569.08,1575.73,118312
07/15/2024,1600.08,1605.73,1585.50,1596.85,318492
07/12/2024,1586.40,1604.98,1574.33,1596.73,1444574
07/11/2024,1589.00,1603.93,1570.33,1581.75,206364
07/10/2024,1592.50,1597.50,1563.38,1583.45,141816
07/09/2024,1599.98,1600.55,1581.03,1590.08,335112
07/08/2024,1589.95,1608.95,1582.50,1601.05,383740
07/05/2024,1551.90,1598.83,1548.05,1590.03,1517954
07/04/2024,1558.48,1567.25,1551.15,1553.95,264962
07/03/2024,1565.18,1574.75,1542.60,1552.65,343368
07/02/2024,1566.90,1575.00,1556.68,1566.15,314216
07/01/2024,1564.98,1578.78,1555.20,1560.18,375212
06/28/2024,1530.48,1580.73,1530.48,1565.93,2065782
06/27/2024,1510.75,1537.50,1506.05,1530.55,662220
06/26/2024,1449.98,1518.50,1445.08,1513.70,1445392
06/25/2024,1447.50,1456.05,1441.70,1454.25,419452
06/24/2024,1446.00,1449.50,1437.20,1441.50,125386
06/21/2024,1471.70,1474.53,1440.25,1453.40,1794940
06/20/2024,1464.98,1482.45,1450.35,1473.20,198244
06/19/2024,1485.70,1487.60,1455.63,1458.60,195016
06/18/2024,1485.10,1487.00,1470.60,1480.70,216044
06/14/2024,1468.05,1479.35,1456.70,1477.28,372690
06/13/2024,1473.00,1473.00,1460.28,1464.33,115126
06/12/2024,1456.75,1476.00,1455.50,1463.03,345148
06/11/2024,1474.98,1474.98,1455.00,1456.75,251936
06/10/2024,1471.88,1493.28,1467.78,1470.30,174132
06/07/2024,1429.00,1472.25,1426.48,1469.73,1904410
06/06/2024,1434.50,1443.00,1421.50,1431.88,510756
06/05/2024,1424.48,1430.68,1384.03,1421.08,360172
06/04/2024,1503.98,1503.98,1359.58,1396.80,2070856
06/03/2024,1487.45,1514.95,1459.00,1510.63,630462
05/31/2024,1432.33,1442.10,1421.63,1429.80,1594572
05/30/2024,1442.00,1442.00,1420.75,1425.00,108264
05/29/2024,1448.50,1458.05,1438.50,1440.73,130162
05/28/2024,1470.98,1478.50,1452.70,1455.63,232640
05/27/2024,1480.40,1483.73,1462.00,1466.23,269142
05/24/2024,1483.00,1488.50,1475.60,1479.90,913194
05/23/2024,1459.15,1491.78,1456.00,1486.60,394112
05/22/2024,1436.45,1468.40,1436.45,1460.38,221684
05/21/2024,1429.50,1441.50,1426.45,1435.65,261814
05/17/2024,1421.18,1437.43,1413.00,1435.35,830714
05/16/2024,1417.50,1427.15,1398.30,1425.10,142242
05/15/2024,1422.50,1429.70,1412.75,1415.58,103644
05/14/2024,1402.50,1427.03,1400.00,1419.90,275234
05/13/2024,1399.03,1406.58,1384.03,1402.65,263134
05/10/2024,1395.08,1410.68,1387.60,1407.58,765576
05/09/2024,1429.50,1429.50,1390.00,1393.40,212694
05/08/2024,1397.50,1433.48,1397.50,1418.48,557738
05/07/2024,1416.00,1420.38,1392.50,1401.98,339140
05/06/2024,1437.50,1440.73,1418.13,1419.50,286808
05/03/2024,1469.28,1474.55,1416.35,1434.25,687108
05/02/2024,1472.68,1476.95,1463.83,1466.05,249570
04/30/2024,1465.45,1482.50,1463.50,1465.58,474192
04/29/2024,1451.48,1467.78,1450.05,1465.25,389292
04/26/2024,1462.58,1465.00,1450.00,1451.50,901160
04/25/2024,1444.00,1467.50,1442.60,1459.20,385948
04/24/2024,1461.15,1468.33,1449.35,1450.30,156772
04/23/2024,1484.28,1493.03,1456.25,1459.25,546866
04/22/2024,1475.00,1482.15,1468.30,1480.30,351966
04/19/2024,1459.48,1473.50,1443.38,1470.80,1061950
04/18/2024,1464.50,1485.75,1459.50,1464.08,411428
04/16/2024,1454.98,1471.00,1451.05,1467.23,314104
04/15/2024,1454.33,1482.25,1446.58,1466.45,603980
04/12/2024,1477.50,1486.50,1462.85,1467.55,1355896
04/10/2024,1474.98,1487.00,1467.28,1479.30,328710
04/09/2024,1487.50,1489.38,1462.50,1463.55,119766
04/08/2024,1461.70,1490.25,1461.70,1485.50,296784
04/05/2024,1464.00,1470.75,1455.95,1459.98,862624
04/04/2024,1479.28,1479.28,1450.25,1463.23,209180
04/03/2024,1483.45,1483.45,1469.00,1471.20,254218
04/02/2024,1484.75,1493.95,1475.00,1485.65,237050
04/01/2024,1492.50,1494.25,1482.50,1484.75,458710
03/28/2024,1497.18,1505.63,1479.50,1488.40,844526
03/27/2024,1449.83,1499.95,1448.95,1493.93,942050
03/26/2024,1444.30,1452.63,1438.50,1442.08,1887730
03/22/2024,1448.53,1460.00,1447.68,1454.95,1124968
03/21/2024,1445.70,1457.50,1444.83,1450.65,154182
03/20/2024,1425.53,1445.10,1424.03,1443.40,305812
