Date,Close,Open,High,Low
23/02/2023,89.2563,89.2563,89.2563,89.2563
22/02/2023,89.4521,89.4521,89.4521,89.4521
21/02/2023,90.4075,90.4075,90.4075,90.4075
20/02/2023,90.5262,90.5262,90.5262,90.5262
17/02/2023,90.7973,90.7973,90.7973,90.7973
16/02/2023,91.2247,91.2247,91.2247,91.2247
15/02/2023,91.0574,91.0574,91.0574,91.0574
14/02/2023,90.7305,90.7305,90.7305,90.7305
13/02/2023,90.3114,90.3114,90.3114,90.3114
10/02/2023,90.7306,90.7306,90.7306,90.7306
09/02/2023,90.8555,90.8555,90.8555,90.8555
08/02/2023,90.7313,90.7313,90.7313,90.7313
07/02/2023,90.2701,90.2701,90.2701,90.2701
06/02/2023,90.4774,90.4774,90.4774,90.4774
03/02/2023,90.7666,90.7666,90.7666,90.7666
02/02/2023,89.8495,89.8495,89.8495,89.8495
01/02/2023,89.5413,89.5413,89.5413,89.5413
31/01/2023,89.724,89.724,89.724,89.724
30/01/2023,89.4361,89.4361,89.4361,89.4361
27/01/2023,89.3316,89.3316,89.3316,89.3316
25/01/2023,90.3328,90.3328,90.3328,90.3328
24/01/2023,91.3471,91.3471,91.3471,91.3471
23/01/2023,91.439,91.439,91.439,91.439
20/01/2023,91.2398,91.2398,91.2398,91.2398
19/01/2023,91.582,91.582,91.582,91.582
18/01/2023,91.7486,91.7486,91.7486,91.7486
17/01/2023,91.3967,91.3967,91.3967,91.3967
16/01/2023,90.8281,90.8281,90.8281,90.8281
13/01/2023,91.0305,91.0305,91.0305,91.0305
12/01/2023,90.7009,90.7009,90.7009,90.7009
11/01/2023,90.7437,90.7437,90.7437,90.7437
10/01/2023,90.7204,90.7204,90.7204,90.7204
09/01/2023,91.3292,91.3292,91.3292,91.3292
06/01/2023,90.4034,90.4034,90.4034,90.4034
05/01/2023,90.9295,90.9295,90.9295,90.9295
04/01/2023,91.1833,91.1833,91.1833,91.1833
03/01/2023,91.8917,91.8917,91.8917,91.8917
02/01/2023,91.7684,91.7684,91.7684,91.7684
